PRODUCT LIST,,,,,,,
,,,,,,,
,WHEY PROTIEN SECTION,NET WEIGHT,FLAVOURES,PRICE,MRP,discount,WebUpdate
,GNC Fish Oil Omega 3 Capsules - 1000mg,60N,UNFLAVOURED,?349.00,?619.00,44%,
3,GNC Fish Oil Omega 3 Capsules - 1000mg,90N,UNFLAVOURED,?499.00,?889.00,44%,
4,GNC Triple Strength Fish Oil,120N,UNFLAVOURED,?899.00,"?1,859.00",52%,
5,ON Omega-3 Fishoil,60N,UNFLAVOURED,?480.00,?666.00,28%,
6,Sunline Alaska Deep Sea Fish Oil Omega-3,100N,UNFLAVOURED,?449.00,?999.00,55%,
7,MUSCLETECH PLATINUM 100% OMEGA FISH OIL,100N,UNFLAVOURED,?699.00,"?1,329.00",47%,
8,NEUHERBS Deep Sea Fish Oil - 2500 mg Omega 3,60N,UNFLAVOURED,?649.00,?999.00,35%,
PRE WORKOUT,,,,,,,
1,MuscleBlaze PRE Workout 200 Xtreme,100G,FRUIT PUNCH / TANGY ORANGE,?549.00,?669.00,18%,
,MuscleBlaze PRE Workout 200 Xtreme,200G,FRUIT PUNCH / TANGY ORANGE,?999.00,"?1,249.00",20%,
2,MuscleBlaze Pre Workout WrathX,340G,FRUIT FURY / COLA FROST,"?1,199.00","?2,099.00",43%,
,MuscleBlaze Pre Workout WrathX,510G,FRUIT FURY / COLA FROST,"?1,699.00","?2,669.00",36%,
3,Black Beast The Big Daddy Inferno Pre workout,300GM,PSYCOPATH PUNCH,"?1,350.00","?2,135.00",37%,
4,GNC Pre Performance Pre-Workout,360GM,FRUIT PUNCH,?999.00,"?1,869.00",47%,
5,BIGMUSCLE Karnage PreWorkout,300GM,WATERMELON LIME / ARCTIC BLAST / SEX ON THE BEACH,"?1,149.00","?1,849.00",38%,
7,Fast&Up Citrulline Malate,200GM,UNFLAVOURED,?751.00,"?1,155.00",35%,
8,GNC L-ARGININE 1100mg,90N,UNFLAVOURED,?799.00,"?1,329.00",40%,
WEIGHT LOSS,,,,,,,
1,MuscleBlaze Liquid L-Carnitine 1100mg,450ML,KEY LIME / TANGY ORANGE,?599.00,?719.00,17%,
2,MuscleBlaze Liquid L-Carnitine PRO - 3300mg,450ML,KEY LIME / TANGY ORANGE,"?1,499.00","?1,609.00",7%,
3,Triple Strength L-Carnitine Liquid 3000mg,450ML,ORANGE,"?1,399.00","?2,049.00",32%,
4,L-Carnitine 3000mg for Weight Loss,30N,LEMON / ORANGE,?649.00,?849.00,24%,
5,MuscleBlaze MB Fat Burner PRO,60N,UNFLAVOURED,?849.00,"?1,029.00",17%,
6,WELLBEINGS Apple Cider Vinegar,500ml,,?385.00,?649.00,41%,
RECOVERY,,,,,,,
1,MuscleBlaze L-Glutamine,250GM,UNFLAVOURED,?799.00,"?1,029.00",22%,
2,GNC Pro Performance L-GLUTAMINE,250GM,UNFLAVOURED,?599.00,"?1,159.00",48%,
INTRA WORKOUT,,,,,,,
1,MuscleBlaze BCAA Pro Essential Amino Acids,450G,GREEN APPLE / WATERMELON,"?1,499.00","?2,299.00",35%,
2,MuscleBlaze BCAA Pro Essential Amino Acids,240GM,GREEN APPLE / WATERMELON,?699.00,"?1,099.00",36%,
,ON BCAA 5000 POWDER,250GM,GREEN APPLE ,?867.00,"?1,239.00",30%,
1,Calcium Plus 1000mg with Magnesium and Vitamin D3,60N,UNFLAVOURED,?599.00,"?1,019.00",41%,
2,GNC Zinc Magnesium Amino (ZMA) Complex,60N,UNFLAVOURED,?499.00,?889.00,44%,
BEAUTI,,,,,,,
1,GNC Marine Collagen Powder,200G,LEMON / ORANGE,?999.00,"?1,779.00",44%,
3,WELLBEINGS VITAMIN C & ZINC 1100MG,16N,ZESTY ORANGE,?319.00,?399.00,20%,
PEANUT BUTTER & OATS,,,,,,,
1,MYFITNESS PEANUT BUTTER SMOOTH,1.25KG,CHOCOLATE,,,#DIV/0!,
2,MYFITNESS PEANUT BUTTER CRUNCHY,1KG,DARK CHOCOLATE,,,#DIV/0!,
3,MYFITNESS PEANUT BUTTER SMOOTH,510G,DARK CHOCOLATE,,,#DIV/0!,
4,MYFITNESS PEANUT BUTTER CRUNCHY,510G,DARK CHOCOLATE,,,#DIV/0!,
5,MYFITNESS PEANUT BUTTER SMOOTH,227G,CHOCOLATE,,,#DIV/0!,
6,MYFITNESS PEANUT BUTTER CRUNCHY,227G,CHOCOLATE,,,#DIV/0!,
7,MYFITNESS PEANUT BUTTER CRISPY,227G,CHOCOLATE,,,#DIV/0!,
8,PINTOLA PEANUT BUTTER CREAMY,1KG,DARK CHOCOLATE,,,#DIV/0!,
AURVEDIC PRODUCT,,,,,,,
1,KAPIVA SILAJIT,20G,,,,#DIV/0!,
2,KAPIVA SHILAJIT GOLD,20G,,,,#DIV/0!,
3,KAPIVA ASWAGANDHA GOLD,60N,,,,#DIV/0!,
4,KAPIVA SHILAJIT GOLD CAPSUL,60N,,,,#DIV/0!,
"PROTIEN BAR , COOKIES & CHIPS",,,,,,,
1,MAX PROTIEN BAR,10GM / EACH,CHOCO BERRY / CHOCO ALMOND / DATE ALMOND,,,#DIV/0!,
2,MAX PROTIEN BAR,20GM / EACH,CHOCO BERRY / CHOCO ALMOND / DATE ALMOND,,,#DIV/0!,
3,AVVATAR WAFFER,10GM / EACH,CHOCOLATE / COFFE,,,#DIV/0!,
4,MB PROTIEN BAR,10GM / EACH,CHOCO ALMOND,,,#DIV/0!,
5,MB PROTIEN BAR,20GM / EACH,CHOCO ALMOND,,,#DIV/0!,
6,MAX PROTIEN CHIPS,10GM,SPANISH TOMATO / CREAN & ONION / DESI MASALA / CHINESE MANCHURIAN,,,#DIV/0!,
ACCSEROIES,,,,,,,
,GYM BAG,,AVARAGE QUALITY,,,#DIV/0!,
,GYM BAG,,GOOD QUALITY,,,#DIV/0!,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
